,zip_code,total,retired,disabled,widowers_parents,spouses,children,amount_all_beneficiaries,amount_retired,amount_widowers,old_beneficiaries,state,amount_per_beneficiary,status
138,731,3900.0,2130.0,545.0,500.0,400.0,325.0,2843.0,1680.0,358.0,2765.0,Puerto Rico,0.728974358974359,BOT
141,757,4590.0,2475.0,875.0,415.0,370.0,455.0,3614.0,2059.0,322.0,2950.0,Puerto Rico,0.787363834422658,BOT
142,766,5405.0,2510.0,1245.0,500.0,545.0,605.0,3912.0,1908.0,325.0,3185.0,Puerto Rico,0.7237742830712304,BOT
143,769,8310.0,4270.0,1910.0,670.0,630.0,830.0,6484.0,3478.0,473.0,5135.0,Puerto Rico,0.7802647412755715,BOT
145,795,9085.0,4870.0,1615.0,840.0,870.0,890.0,6947.0,3992.0,618.0,5930.0,Puerto Rico,0.7646670335718216,BOT
149,906,35.0,25.0,0.0,5.0,5.0,0.0,28.0,20.0,5.0,35.0,Puerto Rico,0.8,BOT
157,915,4775.0,2845.0,630.0,535.0,360.0,405.0,3459.0,2156.0,404.0,3360.0,Puerto Rico,0.7243979057591623,BOT
163,925,780.0,500.0,115.0,80.0,35.0,50.0,593.0,394.0,66.0,540.0,Puerto Rico,0.7602564102564102,BOT
168,930,40.0,30.0,0.0,5.0,5.0,0.0,31.0,26.0,2.0,40.0,Puerto Rico,0.775,BOT
183,965,1060.0,525.0,185.0,150.0,100.0,100.0,813.0,432.0,124.0,695.0,Puerto Rico,0.7669811320754717,BOT
188,971,3855.0,2245.0,565.0,365.0,400.0,280.0,2959.0,1848.0,282.0,2715.0,Puerto Rico,0.7675745784695202,BOT
